Step,Train Loss,Test Accuracy
0,0.8397283655901749,0.643
1,0.8734749719500542,0.605
2,0.691985191570388,0.644
3,0.8937034820516904,0.605
4,0.6814180897341834,0.684
5,0.8884132583936055,0.591
6,0.7765312607089678,0.639
7,0.7199574521846241,0.667
8,0.6455088272690773,0.67
9,0.7131847989228036,0.688
10,0.672352558788326,0.691
11,0.7066815432575014,0.659
12,0.5995444362362226,0.692
13,0.6801392883062363,0.684
14,0.6886414171920883,0.662
15,0.6790999306572808,0.676
16,0.6168330883814229,0.67
17,0.6516354923446973,0.671
18,0.6466157587865988,0.654
19,0.6144459504220221,0.66
20,0.5872900139954355,0.682
21,0.6745406138400237,0.642
22,0.6199922393593523,0.659
23,0.6174143833418687,0.703
24,0.6324720247752137,0.684
25,0.5993984176880783,0.685
26,0.6553632329735491,0.684
27,0.6815310832526948,0.657
28,0.600554380648666,0.688
29,0.6144996702671051,0.691
30,0.5867781364255481,0.689
31,0.6264039205180274,0.699
32,0.6396919276979235,0.654
33,0.5797324712077777,0.674
34,0.55675255159537,0.707
35,0.5966052674584919,0.697
36,0.6496801557640235,0.692
37,0.5665443037947019,0.71
38,0.5562270031207137,0.699
39,0.5516028345459038,0.702
40,0.6525987418989341,0.664
41,0.5807488597929478,0.693
42,0.5415779297136598,0.72
43,0.5695668116211892,0.675
44,0.5545595925715234,0.709
45,0.562429818097088,0.708
46,0.5811751909554005,0.716
47,0.5687750369310379,0.71
48,0.5706526254614194,0.691
49,0.5835082094702456,0.699
50,0.5989375771747695,0.688
51,0.5240362846189075,0.719
52,0.5373496609429519,0.694
53,0.5987058967351914,0.697
54,0.5490078498091963,0.729
55,0.581540659815073,0.676
56,0.6075658034119341,0.702
